"","data.super.Csize"
"0",16.6277041628459
"1",16.3181469956988
"2",16.3675587196639
"3",16.0924762008146
"4",16.8151491638349
"5",16.7527564248739
"6",15.4042042604198
"7",16.1513935893659
"8",16.0008098024461
"9",15.6199949722659
"10",16.5115990487054
"11",16.3509092746568
"12",15.6159821005002
"13",16.2974462246308
"14",16.2942100044294
"15",19.4573926244849
"16",16.8010941196527
"17",16.9699939595682
"18",18.2404206387528
"19",17.7404848590845
"20",18.5920899112902
"21",16.953403628676
"22",16.0868173231548
"23",15.9537538854872
"24",16.7308466010796
"25",16.8756050921421
"26",16.6494355267607
"27",16.5833727969191
"28",15.5754436771676
"29",15.5645162087405
"30",15.6682463485722
"31",15.5557309950572
"32",15.576952673742
"33",17.1041939488389
"34",16.1962160331328
"35",17.0132051639105
"36",17.1503512918794
"37",16.86020401415
"38",17.2008289790465
"39",16.1435940812831
"40",16.0451822839132
"41",16.1697531692823
"42",17.2605547450448
"43",17.3376582219514
"44",17.1228572785878
